日期,每日涨停数,每日交易量,上涨比率,连板数,最高板,大面数,其他
2024年11月27日,154.0,1.46,81.09,20.0,7.0,19.0,魅视科技
2024年11月26日,100.0,1.3,29.32,31.0,6.0,107.0,魅视科技-弘讯科技
2024年11月25日,178.0,1.49,71.01,178.0,11.0,22.0,粤桂股份
2024年11月22日,83.0,1.83,7.62,36.0,10.0,54.0,粤桂股份
2024年11月21日,113.0,1.61,46.06,43.0,9.0,21.0,粤桂股份
2024年11月20日,169.0,1.61,84.82,38.0,8.0,3.0,粤桂股份
2024年11月19日,137.0,1.56,87.42,17.0,7.0,16.0,粤桂股份
2024年11月18日,102.0,1.75,20.35,26.0,6.0,129.0,粤桂股份
2024年11月15日,76.0,1.83,15.36,76.0,5.0,44.0,粤桂股份
2024年11月14日,43.0,18.33,8.46,12.0,4.0,82.0,粤桂股份
2024年11月13日,84.0,2,47.69,11.0,4.0,19.0,金桥信息
